,Features
432,R_rostralanteriorcingulate_thickstd
433,R_rostralmiddlefrontal_thickstd
434,R_superiorfrontal_thickstd
435,R_superiorparietal_thickstd
436,R_superiortemporal_thickstd
437,R_supramarginal_thickstd
438,R_frontalpole_thickstd
439,R_temporalpole_thickstd
440,R_transversetemporal_thickstd
441,R_insula_thickstd
442,R_bankssts_numvert
443,R_caudalanteriorcingulate_numvert
444,R_caudalmiddlefrontal_numvert
445,R_cuneus_numvert
446,R_entorhinal_numvert
447,R_fusiform_numvert
448,R_inferiorparietal_numvert
449,R_inferiortemporal_numvert
450,R_isthmuscingulate_numvert
451,R_lateraloccipital_numvert
452,R_lateralorbitofrontal_numvert
453,R_lingual_numvert
454,R_medialorbitofrontal_numvert
455,R_middletemporal_numvert
456,R_parahippocampal_numvert
457,R_paracentral_numvert
458,R_parsopercularis_numvert
459,R_parsorbitalis_numvert
460,R_parstriangularis_numvert
461,R_pericalcarine_numvert
462,R_postcentral_numvert
463,R_posteriorcingulate_numvert
464,R_precentral_numvert
465,R_precuneus_numvert
466,R_rostralanteriorcingulate_numvert
467,R_rostralmiddlefrontal_numvert
468,R_superiorfrontal_numvert
469,R_superiorparietal_numvert
470,R_superiortemporal_numvert
471,R_supramarginal_numvert
472,R_frontalpole_numvert
473,R_temporalpole_numvert
474,R_transversetemporal_numvert
475,R_insula_numvert
476,R_bankssts_meancurv
477,R_caudalanteriorcingulate_meancurv
478,R_caudalmiddlefrontal_meancurv
479,R_cuneus_meancurv
480,R_entorhinal_meancurv
481,R_fusiform_meancurv
482,R_inferiorparietal_meancurv
483,R_inferiortemporal_meancurv
484,R_isthmuscingulate_meancurv
485,R_lateraloccipital_meancurv
486,R_lateralorbitofrontal_meancurv
487,R_lingual_meancurv
488,R_medialorbitofrontal_meancurv
489,R_middletemporal_meancurv
490,R_parahippocampal_meancurv
491,R_paracentral_meancurv
492,R_parsopercularis_meancurv
493,R_parsorbitalis_meancurv
494,R_parstriangularis_meancurv
495,R_pericalcarine_meancurv
496,R_postcentral_meancurv
497,R_posteriorcingulate_meancurv
498,R_precentral_meancurv
499,R_precuneus_meancurv
500,R_rostralanteriorcingulate_meancurv
501,R_rostralmiddlefrontal_meancurv
502,R_superiorfrontal_meancurv
503,R_superiorparietal_meancurv
504,R_superiortemporal_meancurv
505,R_supramarginal_meancurv
506,R_frontalpole_meancurv
507,R_temporalpole_meancurv
508,R_transversetemporal_meancurv
509,R_insula_meancurv
510,R_bankssts_gauscurv
511,R_caudalanteriorcingulate_gauscurv
512,R_caudalmiddlefrontal_gauscurv
513,R_cuneus_gauscurv
514,R_entorhinal_gauscurv
515,R_fusiform_gauscurv
516,R_inferiorparietal_gauscurv
517,R_inferiortemporal_gauscurv
518,R_isthmuscingulate_gauscurv
519,R_lateraloccipital_gauscurv
520,R_lateralorbitofrontal_gauscurv
521,R_lingual_gauscurv
522,R_medialorbitofrontal_gauscurv
523,R_middletemporal_gauscurv
524,R_parahippocampal_gauscurv
525,R_paracentral_gauscurv
526,R_parsopercularis_gauscurv
